,$,private,public,id,dot,closepar,openpar,semi,colon,let,float,integer,closecubr,opencubr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,noteq,eq,inherits,and,div,mult,closesqbr,opensqbr,impl,arrow,func,not,floatlit,intlit,assign,intnum,or
REPTAPARAMS1, , , , , ,REPTAPARAMS1 -> &epsilon, , , , , , , , , , , , , , , , , , , ,REPTAPARAMS1 -> APARAMSTAIL REPTAPARAMS1, , , , , , , , , , , , , , , , , , , , , 
REPTFPARAMS3, , , , , ,REPTFPARAMS3 -> &epsilon, , , , , , , , , , , , , , , , , , , ,REPTFPARAMS3 -> &epsilon, , , , , , , , , , , ,REPTFPARAMS3 -> ARRAYSIZE REPTFPARAMS3, , , , , , , , , 
REPTFPARAMS4, , , , , ,REPTFPARAMS4 -> &epsilon, , , , , , , , , , , , , , , , , , , ,REPTFPARAMS4 -> FPARAMSTAIL REPTFPARAMS4, , , , , , , , , , , , , , , , , , , , , 
REPTFPARAMSTAIL4, , , , , ,REPTFPARAMSTAIL4 -> &epsilon, , , , , , , , , , , , , , , , , , , ,REPTFPARAMSTAIL4 -> &epsilon, , , , , , , , , , , ,REPTFPARAMSTAIL4 -> ARRAYSIZE REPTFPARAMSTAIL4, , , , , , , , , 
REPTFUNCBODY1, , , ,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1, , , , , ,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1, , ,REPTFUNCBODY1 -> &epsilon, , ,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1, , ,REPTFUNCBODY1 -> VARDECLORSTAT REPTFUNCBODY1, , , , , , , , , , , , , , , , , , , , , , , , , 
REPTIDNEST1, , , , ,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon, ,REPTIDNEST1 -> &epsilon, , , , , , , , , , , , , , ,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon, ,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon, ,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> &epsilon,REPTIDNEST1 -> INDICE REPTIDNEST1, , , , , , ,REPTIDNEST1 -> &epsilon, ,REPTIDNEST1 -> &epsilon
REPTIMPLDEF3, , , , , , , , , , , , ,REPTIMPLDEF3 -> &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , ,REPTIMPLDEF3 -> FUNCDEF REPTIMPLDEF3, , , , , , 
REPTOPTSTRUCTDECL22, , , , , , , , , , , , , ,REPTOPTSTRUCTDECL22 -> &epsilon, , , , , , , , , , , ,REPTOPTSTRUCTDECL22 -> comma id REPTOPTSTRUCTDECL22, , , , , , , , , , , , , , , , , , , , , 
REPTPROG0,REPTPROG0 -> &epsilon, , , , , , , , , , , , , ,REPTPROG0 -> STRUCTORIMPLORFUNC REPTPROG0, , , , , , , , , , , , , , , , , , , , , , , ,REPTPROG0 -> STRUCTORIMPLORFUNC REPTPROG0, ,REPTPROG0 -> STRUCTORIMPLORFUNC REPTPROG0, , , , , , 
REPTSTATBLOCK1, , , ,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1, , , , , , , , ,REPTSTATBLOCK1 -> &epsilon, , ,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1, , ,REPTSTATBLOCK1 -> STATEMENT REPTSTATBLOCK1, , , , , , , , , , , , , , , , , , , , , , , , , 
REPTSTRUCTDECL4, ,REPTSTRUCTDECL4 -> VISIBILITY MEMBERDECL REPTSTRUCTDECL4,REPTSTRUCTDECL4 -> VISIBILITY MEMBERDECL REPTSTRUCTDECL4, , , , , , , , , ,REPTSTRUCTDECL4 -> &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
REPTVARDECL4, , , , , , , ,REPTVARDECL4 -> &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REPTVARDECL4 -> ARRAYSIZE REPTVARDECL4, , , , , , , , , 
RETURNTYPE, , , ,RETURNTYPE -> TYPE, , , , , , ,RETURNTYPE -> TYPE,RETURNTYPE -> TYPE, , , , , , , , , , , , ,RETURNTYPE -> void, , , , , , , , , , , , , , , , , , , , , , 
RIGHTRECARITHEXPR, , , , , ,RIGHTRECARITHEXPR -> &epsilon, ,RIGHTRECARITHEXPR -> &epsilon, , , , , , , , , , , , , , ,RIGHTRECARITHEXPR -> ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR -> ADDOP TERM RIGHTRECARITHEXPR, ,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon,RIGHTRECARITHEXPR -> &epsilon, , , , ,RIGHTRECARITHEXPR -> &epsilon, , , , , , , , , ,RIGHTRECARITHEXPR -> ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM, , , , , ,RIGHTRECTERM -> &epsilon, ,RIGHTRECTERM -> &epsilon, , , , , , , , , , , , , , ,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon, ,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon,RIGHTRECTERM -> &epsilon, ,RIGHTRECTERM -> MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM -> MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM -> MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM -> &epsilon, , , , , , , , , ,RIGHTRECTERM -> &epsilon
SIGN, , , , , , , , , , , , , , , , , , , , , , ,SIGN -> minus,SIGN -> plus, , , , , , , , , , , , , , , , , , , , , , , 
STATBLOCK, , , ,STATBLOCK -> STATEMENT, , , ,STATBLOCK -> &epsilon, , , , , ,STATBLOCK -> opencubr REPTSTATBLOCK1 closecubr, ,STATBLOCK -> STATEMENT,STATBLOCK -> STATEMENT,STATBLOCK -> STATEMENT,STATBLOCK -> STATEMENT,STATBLOCK -> &epsilon, ,STATBLOCK -> STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT, , , ,STATEMENT -> id STATEMENT1, , , , , , , , , , , ,STATEMENT -> return openpar EXPR closepar semi,STATEMENT -> write openpar EXPR closepar semi,STATEMENT -> read openpar VARIABLE closepar semi,STATEMENT -> while openpar RELEXPR closepar STATBLOCK semi, , ,STATEMENT -> if openpar RELEXPR closepar then STATBLOCK else STATBLOCK semi, , , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT1, , , , ,STATEMENT1 -> REPTIDNEST1 STATEMENT3, ,STATEMENT1 -> openpar APARAMS closepar STATEMENT2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT1 -> REPTIDNEST1 STATEMENT3, , , , , , ,STATEMENT1 -> REPTIDNEST1 STATEMENT3, , 
STATEMENT2, , , , ,STATEMENT2 -> dot id STATEMENT1, , ,STATEMENT2 -> semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT3, , , , ,STATEMENT3 -> dot id STATEMENT1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT3 -> ASSIGNOP EXPR semi, , 
STRUCTDECL, , , , , , , , , , , , , , ,STRUCTDECL -> struct id OPTSTRUCTDECL2 opencubr REPTSTRUCTDECL4 closecubr semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
STRUCTORIMPLORFUNC, , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC -> STRUCTDECL, , , , , , , , , , , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC -> IMPLDEF, ,STRUCTORIMPLORFUNC -> FUNCDEF, , , , , , 
TERM, , , ,TERM -> FACTOR RIGHTRECTERM, , ,TERM -> FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , ,TERM -> FACTOR RIGHTRECTERM,TERM -> FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , , , ,TERM -> FACTOR RIGHTRECTERM,TERM -> FACTOR RIGHTRECTERM,TERM -> FACTOR RIGHTRECTERM, , , 
TYPE, , , ,TYPE -> id, , , , , , ,TYPE -> float,TYPE -> integer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECL, , , , , , , , , ,VARDECL -> let id colon TYPE REPTVARDECL4 semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECLORSTAT, , , ,VARDECLORSTAT -> STATEMENT, , , , , ,VARDECLORSTAT -> VARDECL, , , , , ,VARDECLORSTAT -> STATEMENT,VARDECLORSTAT -> STATEMENT,VARDECLORSTAT -> STATEMENT,VARDECLORSTAT -> STATEMENT, , ,VARDECLORSTAT -> STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE, , , ,VARIABLE -> id VARIABLE1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE1, , , , ,VARIABLE1 -> REPTIDNEST1 VARIABLE3,VARIABLE1 -> REPTIDNEST1 VARIABLE3,VARIABLE1 -> openpar APARAMS closepar VARIABLE2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VARIABLE1 -> REPTIDNEST1 VARIABLE3, , , , , , , , , 
VARIABLE2, , , , ,VARIABLE2 -> dot id VARIABLE1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE3, , , , ,VARIABLE3 -> dot id VARIABLE1,VARIABLE3 -> &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VISIBILITY, ,VISIBILITY -> private,VISIBILITY -> public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
